noticia,medio,autor,titulo,fecha,lugar,oracion,sustantivos,adjetivos,verbos,personas,organizaciones,lugares,fechas,geopoliticos,eventos,polaridad,subjetividad,cant_personas
638.txt,International Times,,Centrum's central role in the Tethan Gas Industry,19821002,,"Sanjorge has recently started paying more attention to leisure activities and philanthropy, allowing his son Sten Jr. and co-founder Hank Fluss to run the company.","attention,leisure,activity,philanthropy,son,co,-,founder,company",more,"start,pay,run","Sanjorge,Sten Jr.,Hank Fluss",,,,,,0.25,0.375,3
501.txt,World Journal,,The central role of Centrum in the gas industry of Tethan,19821004,,"You note them in the constant basic image of the helicopters to-ing and of fro-ing outside to the areas moved away, and had aligned them with the airport of the city to make the shuttle of the execs in the two directions of the city.

And while you lead around the centrum, almost each round not is financed by a division of GAStech. 

Sanjorge recently started to pay more attention to the activities of leisures and philanthropy, allowing Sten Jr. and Hank Fluss cofounder to direct the company.","image,helicopter,area,airport,city,shuttle,exec,direction,city,centrum,round,division,attention,activity,leisure,philanthropy,cofounder,company","constant,basic,more","note,to,e,fro,e,move,align,make,lead,finance,start,pay,direct","Sanjorge,Sten Jr.,Hank Fluss",GAStech,,,,,0.05714285714285715,0.29404761904761895,3
666.txt,Kronos Star,Donato Petr,Government Strikes Deal with GAStech Internationa,19930312,"ABILA, Krono","GAStech, under the leadership of visionary Sten Sanjorge Jr., was awarded exclusive rights to drill in the government-owned fields after agreeing to the government's request that 50% or more of the workforce be Kronosian citizens.","leadership,visionary,right,government,field,government,request,%,workforce,citizen","exclusive,more,kronosian","award,drill,own,agree,be",Sten Sanjorge Jr.,GAStech,,,,,0.5,0.5,1
367.txt,News Online Today,,Government Strikes Deal with GAStech International,19930313,"ABILA, Kronos","GAStech, under the leadership of visionary Sten Sanjorge Jr., was awarded exclusive rights to drill in the government-owned fields after agreeing to the government's request that 50% or more of the workforce be Kronosian citizens.","leadership,visionary,right,government,field,government,request,%,workforce,citizen","exclusive,more,kronosian","award,drill,own,agree,be",Sten Sanjorge Jr.,GAStech,,,,,0.5,0.5,1
795.txt,The Truth,,The strikes of the government treat international GAStec,19930314,"ABILA, Kronos","GAStech, under the control of unrealistically of Sten Sanjorge Jr., were granted exclusive rights on drill on the state areas after approving with the request of the government which 50% or more of the number of workers is citizens Kronosian.","control,right,drill,state,area,request,government,%,number,worker,citizen","exclusive,more","grant,approve",Sten Sanjorge Jr.,GAStech,,,,,0.5,0.5,1
478.txt,The General Post,,"THE PROMINENT BUSINESS, CIVIC LEADER DIES IN 6",19940218,"CENTRUM, Tethys","Sanjorge, Mr. is survived by its wife Ingrid Sanjorge and son Sten Sanjorge Jr.

""A great light in this world has been extinguished, he still throws a shade yet,"" said Sanjorge Jr, ""that I make vote lead to our company advanced with a renewed vision and a dignity that honor the life of my father and work.""","wife,son,light,world,shade,vote,company,vision,dignity,life,father,work",great,"survive,extinguish,throw,say,make,lead,advance,renew,honor","Sanjorge,Ingrid Sanjorge,Sten Sanjorge Jr.,Sanjorge Jr",,,,,,0.5333333333333333,0.6833333333333332,4
84.txt,The World,,GASTECH'S EXPANSION REACHES THE SHORES OF KRONO,19940923,"ABILA, Kronos",Sten Sanjorge Jr.'s international expansion has been the hallmark of his brief tenure at the helm following his father's death in February of this year.,"expansion,hallmark,tenure,helm,father,death,year","international,brief","be,follow",Sten Sanjorge Jr.'s,,,February of this year,,,0.0,0.14444444444444446,1
526.txt,Kronos Star,Lelio Masi,Grand Opening of the New GAStech Office,19951010,"ABILA, Kronos",President Sten Sanjorge Jr. of GAStech international today held the grand opening ceremony for the new GAStech-Kronos headquarters building.,"today,opening,ceremony,headquarters,building","international,grand,new",hold,Sten Sanjorge Jr.,"GAStech,GAStech-Kronos",,today,,,0.21212121212121213,0.4848484848484849,1
695.txt,The Tulip,,LARGE OPENING GASTECH-KRONO,19951011,"ABILA, Krono","With trade mark flash, Sten Sanjorge Jr., the international President of GAStech opened the new headquarters of gAStech-Kronos .","trade,mark,flash,headquarters","international,new",open,Sten Sanjorge Jr.,"GAStech,gAStech-Kronos",,,,,0.06818181818181818,0.2272727272727273,1
456.txt,The Light of Truth,,OPENING LARGE GASTECH-KRONO,19951011,,"ABILA, Kronos - with its flash of trade mark, Sten Sanjorge Jr., president and CEO of international GAStech opened the new registered offices of GAStech-Kronos.","flash,trade,mark,president,office","international,new","open,register",Sten Sanjorge Jr.,"ABILA,,GAStech,GAStech-Kronos",,,,,0.06818181818181818,0.2272727272727273,1
444.txt,International News,,Grand Opening of the New GAStech Offices,19951011,"ABILA, Kronos",President Sten Sanjorge Jr.,,,,Sten Sanjorge Jr.,,,,,,0.0,0.0,1
591.txt,Worldwise,,Large opening of the new offices of GAStec,19951011,"ABILA, Kronos",President Sten Sanjorge Jr. of international of GAStech now considered to be the ceremony large of opening for new GAStech-Kronos the building sits.,"ceremony,opening,building","international,large,new","consider,be,sit",Sten Sanjorge Jr.,"GAStech,GAStech",,,,,0.11688311688311688,0.29437229437229434,1
634.txt,News Online Today,,Grand Opening of the New GAStech Offices,19951011,"ABILA, Kronos",President Sten Sanjorge Jr.,,,,Sten Sanjorge Jr.,,,,,,0.0,0.0,1
474.txt,The Truth,,Large opening the new offices GAStec,19951012,"ABILA, Kronos",International president Sten Sanjorge Jr. one of GAStech kept today the large opening ceramics for the new headquarters gAStech-Kronos construction.,"president,today,opening,ceramic,headquarters,construction","international,large,new",keep,Sten Sanjorge Jr.,"GAStech,gAStech-Kronos",,today,,,0.11688311688311688,0.29437229437229434,1
69.txt,Homeland Illumination,Petrus Gerhar,"ELODIS, KRONOS:  A TOWN IN NEED, Part On",19980319,,I caught up with Henk Bodrogi in town making purchases at the Osvaldo hardware store to repair a broken tractor.,"town,purchase,hardware,store,tractor",broken,"catch,make,repair",Henk Bodrogi,Osvaldo,,,,,-0.4,0.4,1
