noticia,medio,autor,titulo,fecha,lugar,oracion,sustantivos,adjetivos,verbos,personas,organizaciones,lugares,fechas,geopoliticos,eventos,polaridad,subjetividad
785.txt,News Online Today,"",POK Anniversary Rally Ends in Riot,20120620,"ABILA, Kronos",POK members held a large demonstration in Abila yesterday.,"member,demonstration,yesterday",large,hold,"",POK,"",yesterday,Abila,"",0.21428571428571427,0.42857142857142855
785.txt,News Online Today,"",POK Anniversary Rally Ends in Riot,20120620,"ABILA, Kronos","The violence escalated into a full blown riot and police were forced to use tear gas, pepper spray, water cannons, and beanbags shot from shotguns to control the crowd.","violence,riot,police,gas,pepper,spray,water,cannon,beanbag,shotgun,crowd",tear,"escalate,blow,force,use,shoot,control","","","","","","",0.024999999999999967,0.375
785.txt,News Online Today,"",POK Anniversary Rally Ends in Riot,20120620,"ABILA, Kronos","Several protestors and police were injured, including one heroic police officer who was stabbed by a crazed protestor.","protestor,police,police,officer,protestor","several,heroic,crazed","injure,include,stab","","","","","","",0.35,0.45
454.txt,News Online Today,"",LEADERSHIP CHANGE FOR PO,20090621,"ABILA, Krono","Following the unexpected death of Elian Karel, Silvia Marek has taken over the leadership role of the Protectors of Kronos.","death,leadership,role",unexpected,"follow,take","Elian Karel,Silvia Marek",Kronos,"","","","",0.05,0.55
454.txt,News Online Today,"",LEADERSHIP CHANGE FOR PO,20090621,"ABILA, Krono",Elian Karel died while in police custody on 19 June.,"police,custody","",die,Elian Karel,"","",19 June,"","",0.0,0.0
266.txt,News Online Today,"",POK MEMBERS TARGETED BY ABILA POLIC,20120205,"ABILA, Krono",Four Protectors of Kronos members were arrested by Abila police last week on false drug charges.,"member,police,week,drug,charge","last,false",arrest,"",Protectors of Kronos,"",last week,Abila,"",-0.20000000000000004,0.3333333333333333
266.txt,News Online Today,"",POK MEMBERS TARGETED BY ABILA POLIC,20120205,"ABILA, Krono",The four citizens were attending evening poetry readings at a local café.,"citizen,evening,poetry,reading,café",local,attend,"","","","","","",0.0,0.0
266.txt,News Online Today,"",POK MEMBERS TARGETED BY ABILA POLIC,20120205,"ABILA, Krono","Witnesses report that police stormed the café, ignoring everyone but those four specific persons.","witness,police,café,ignoring,person",specific,"report,storm","","","","","","",0.0,0.125
266.txt,News Online Today,"",POK MEMBERS TARGETED BY ABILA POLIC,20120205,"ABILA, Krono",It is increasingly evident that the persecution of the POK has become official government policy.,"persecution,government,policy","evident,official",become,"",POK,"","","","",0.25,0.25
544.txt,News Online Today,"",Activists Disrupt Traffic Near Tiskele Bend Fields,20010831,"ABILA, Kronos","Five young people were arrested yesterday for protesting near the entrance to the Tiskele Bend fields as they called for government action to address their environmental concerns about GAStech's operations at the site.","young,people,yesterday,entrance,field,government,action,concern,operation,site",environmental,"arrest,protest,call,address","",GAStech,Tiskele Bend,yesterday,"","",0.10000000000000002,0.3
544.txt,News Online Today,"",Activists Disrupt Traffic Near Tiskele Bend Fields,20010831,"ABILA, Kronos","The protestors, members of the activist group ""Protectors of Kronos"", held signs reading: ""Drilling Poisoned Our Water"" and ""Remember Juliana"", referring to 10 year old Juliana Vann, who has become an icon for the Protectors of Kronos since her death in 1998.","protestor,member,activist,group,sign,water,year,icon,death",old,"hold,read,drill,poison,remember,become","Juliana,Juliana Vann","Protectors of Kronos,the Protectors of Kronos","","10 year old,1998","","",0.1,0.2
410.txt,News Online Today,"",LANDSLIDE VICTORY FOR PRESIDENT KAPELOU,20001002,"ABILA, Kronos",The people of Kronos have overwhelmingly elected new President Dorel Kapelou II.,people,new,elect,Dorel Kapelou II,"","","",Kronos,"",0.3181818181818182,0.7272727272727273
410.txt,News Online Today,"",LANDSLIDE VICTORY FOR PRESIDENT KAPELOU,20001002,"ABILA, Kronos",Former President Luis Araullo conceded defeat yesterday when early returns came in strong for Kapelou II.,"defeat,yesterday,return","former,early,strong","concede,come","Luis Araullo,Kapelou II","","",yesterday,"","",0.17777777777777778,0.3444444444444444
45.txt,News Online Today,"","POK Labeled a ""Public Threat""",20110728,"ABILA, Kronos","In a statement to the press today, government spokesman Rufus Drymiau said of the POK: ""they are justifiably a public threat due to violent demonstrations, opportunistic vandalism, and clashes with the police.""","statement,press,today,government,spokesman,threat,demonstration,vandalism,clash,police","public,violent,opportunistic",say,Rufus Drymiau,POK,"",today,"","",-0.30833333333333335,0.48055555555555557
476.txt,News Online Today,"",GASTECH HEADQUARTERS BLOCKED BY POK,20090219,"ABILA, Kronos",A POK rally designed to bring attention to claims of environmental damage have done more damage to their image.,"rally,bring,attention,claim,damage,damage,image","environmental,more","design,do","",POK,"","","","",0.5,0.5
476.txt,News Online Today,"",GASTECH HEADQUARTERS BLOCKED BY POK,20090219,"ABILA, Kronos","The rally outside of GAStech International's headquarters resulted in multiple arrests for trespassing.","rally,headquarters,arrest,trespassing",multiple,result,"","GAStech International's","","","","",0.0,0.016666666666666666
476.txt,News Online Today,"",GASTECH HEADQUARTERS BLOCKED BY POK,20090219,"ABILA, Kronos",Ten of the protestors chained themselves to the doors of the building in an attempt to prevent GAStech employees from going to work.,"protestor,door,building,attempt,employee,work","","chain,prevent,go","",GAStech,"","","","",0.0,0.0
511.txt,News Online Today,"",POK MEMBERS ARRESTED,20010901,"ELODIS, Kronos",Government heavies obstructed the free speech - yet again - of members of the activist group Protectors of Kronos yesterday at a lawful demonstration at the Tiskele Bend fields.,"government,heavy,speech,member,activist,group,yesterday,demonstration,field","free,lawful",obstruct,"",Protectors of Kronos,Tiskele Bend,yesterday,"","",0.2,0.4
